0.99380820.12   0.00024020.12   0.00042020.12   0.00282820.12
0.99364820.12   0.00025120.12   0.00043920.12   0.00292820.12
0.99348120.12   0.00026220.12   0.00045920.12   0.00303420.12
0.99330620.12   0.00027420.12   0.00048120.12   0.00314420.12
0.99312520.12   0.00028720.12   0.00050320.12   0.00326020.12
0.99293520.12   0.00030020.12   0.00052720.12   0.00338220.12
0.99273720.12   0.00031520.12   0.00055220.12   0.00351120.12
0.99253020.12   0.00033020.12   0.00057920.12   0.00364620.12
0.99231320.12   0.00034620.12   0.00060820.12   0.00378920.12
0.99208620.12   0.00036320.12   0.00063920.12   0.00393920.12
0.99184920.12   0.00038220.12   0.00067120.12   0.00409820.12
0.99160020.12   0.00040120.12   0.00070620.12   0.00426620.12
0.99133820.12   0.00042220.12   0.00074320.12   0.00444420.12
0.99106420.12   0.00044420.12   0.00078220.12   0.00463120.12
0.99077520.12   0.00046820.12   0.00082420.12   0.00483020.12
0.99047120.12   0.00049420.12   0.00086920.12   0.00504220.12
0.99015220.12   0.00052120.12   0.00091820.12   0.00526620.12
0.98981420.12   0.00055020.12   0.00097020.12   0.00550420.12
0.98945820.12   0.00058120.12   0.00102520.12   0.00575720.12
0.98908220.12   0.00061520.12   0.00108520.12   0.00602720.12
0.98868320.12   0.00065120.12   0.00114920.12   0.00631520.12
0.98826120.12   0.00069020.12   0.00121920.12   0.00662220.12
0.98781420.12   0.00073220.12   0.00129420.12   0.00695120.12
0.98733820.12   0.00077820.12   0.00137520.12   0.00730220.12
0.98683220.12   0.00082720.12   0.00146220.12   0.00767920.12
0.98629420.12   0.00088020.12   0.00155720.12   0.00808420.12
0.98571920.12   0.00093820.12   0.00166020.12   0.00851920.12
0.98510520.12   0.00100020.12   0.00177220.12   0.00898820.12
0.98444720.12   0.00106820.12   0.00189420.12   0.00949320.12
0.98374220.12   0.00114320.12   0.00202720.12   0.01003920.12
0.98298520.12   0.00122420.12   0.00217320.12   0.01063020.12
0.98217020.12   0.00131220.12   0.00233220.12   0.01127120.12
0.98129020.12   0.00140920.12   0.00250720.12   0.01196820.12
0.98034020.12   0.00151620.12   0.00269920.12   0.01272720.12
0.97931020.12   0.00163420.12   0.00291120.12   0.01355520.12
0.97819220.12   0.00176320.12   0.00314520.12   0.01446120.12
0.97697520.12   0.00190720.12   0.00340420.12   0.01545420.12
0.97564620.12   0.00206620.12   0.00369120.12   0.01654720.12
0.97419120.12   0.00224220.12   0.00401120.12   0.01775120.12
0.97259420.12   0.00243920.12   0.00436920.12   0.01908320.12
0.97083420.12   0.00265920.12   0.00476920.12   0.02056020.12
0.96889020.12   0.00290620.12   0.00521820.12   0.02220320.12
0.96673320.12   0.00318420.12   0.00572420.12   0.02403720.12
0.96433320.12   0.00349720.12   0.00629720.12   0.02609320.12
